"REF_DATE","GEO","DGUID","First official language spoken","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Canada","2016A000011124","Total, first official language spoken","Number","Number","223","units ","0","v1043024660","1.1.1","21568311","","","","0"
"1971","Canada","2016A000011124","French","Number","Number","223","units ","0","v1043024661","1.2.1","5873364","","","","0"
"1971","Canada","2016A000011124","English","Number","Number","223","units ","0","v1043024662","1.3.1","15266964","","","","0"
"1971","Canada","2016A000011124","English and french","Number","Number","223","units ","0","v1043024663","1.4.1","108622","","","","0"
"1971","Canada","2016A000011124","Neither english nor French","Number","Number","223","units ","0","v1043024664","1.5.1","319361","","","","0"
"1971","Canada","2016A000011124","Official language minority","Number","Number","223","units ","0","v1043024665","1.6.1","5927675","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Total, first official language spoken","Number","Number","223","units ","0","v1043024667","2.1.1","522104","","","","0"
"1971","Newfoundland and Labrador","2016A000210","French","Number","Number","223","units ","0","v1043024668","2.2.1","3638","","","","0"
"1971","Newfoundland and Labrador","2016A000210","English","Number","Number","223","units ","0","v1043024669","2.3.1","517736","","","","0"
"1971","Newfoundland and Labrador","2016A000210","English and french","Number","Number","223","units ","0","v1043024670","2.4.1","106","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Neither english nor French","Number","Number","223","units ","0","v1043024671","2.5.1","624","","","","0"
"1971","Newfoundland and Labrador","2016A000210","Official language minority","Number","Number","223","units ","0","v1043024672","2.6.1","3691","","","","0"
"1971","Prince Edward Island","2016A000211","Total, first official language spoken","Number","Number","223","units ","0","v1043024674","3.1.1","111641","","","","0"
"1971","Prince Edward Island","2016A000211","French","Number","Number","223","units ","0","v1043024675","3.2.1","7369","","","","0"
"1971","Prince Edward Island","2016A000211","English","Number","Number","223","units ","0","v1043024676","3.3.1","104234","","","","0"
"1971","Prince Edward Island","2016A000211","English and french","Number","Number","223","units ","0","v1043024677","3.4.1","7","","","","0"
"1971","Prince Edward Island","2016A000211","Neither english nor French","Number","Number","223","units ","0","v1043024678","3.5.1","31","","","","0"
"1971","Prince Edward Island","2016A000211","Official language minority","Number","Number","223","units ","0","v1043024679","3.6.1","7373","","","","0"
"1971","Nova Scotia","2016A000212","Total, first official language spoken","Number","Number","223","units ","0","v1043024681","4.1.1","788960","","","","0"
"1971","Nova Scotia","2016A000212","French","Number","Number","223","units ","0","v1043024682","4.2.1","39645","","","","0"
"1971","Nova Scotia","2016A000212","English","Number","Number","223","units ","0","v1043024683","4.3.1","747969","","","","0"
"1971","Nova Scotia","2016A000212","English and french","Number","Number","223","units ","0","v1043024684","4.4.1","313","","","","0"
"1971","Nova Scotia","2016A000212","Neither english nor French","Number","Number","223","units ","0","v1043024685","4.5.1","1033","","","","0"
"1971","Nova Scotia","2016A000212","Official language minority","Number","Number","223","units ","0","v1043024686","4.6.1","39802","","","","0"
"1971","New Brunswick","2016A000213","Total, first official language spoken","Number","Number","223","units ","0","v1043024688","5.1.1","634557","","","","0"
"1971","New Brunswick","2016A000213","French","Number","Number","223","units ","0","v1043024689","5.2.1","215013","","","","0"
"1971","New Brunswick","2016A000213","English","Number","Number","223","units ","0","v1043024690","5.3.1","418713","","","","0"
"1971","New Brunswick","2016A000213","English and french","Number","Number","223","units ","0","v1043024691","5.4.1","231","","","","0"
"1971","New Brunswick","2016A000213","Neither english nor French","Number","Number","223","units ","0","v1043024692","5.5.1","600","","","","0"
"1971","New Brunswick","2016A000213","Official language minority","Number","Number","223","units ","0","v1043024693","5.6.1","215129","","","","0"
"1971","Quebec","2016A000224","Total, first official language spoken","Number","Number","223","units ","0","v1043024695","6.1.1","6027764","","","","0"
"1971","Quebec","2016A000224","French","Number","Number","223","units ","0","v1043024696","6.2.1","4937834","","","","0"
"1971","Quebec","2016A000224","English","Number","Number","223","units ","0","v1043024697","6.3.1","958250","","","","0"
"1971","Quebec","2016A000224","English and french","Number","Number","223","units ","0","v1043024698","6.4.1","68236","","","","0"
"1971","Quebec","2016A000224","Neither english nor French","Number","Number","223","units ","0","v1043024699","6.5.1","63444","","","","0"
"1971","Quebec","2016A000224","Official language minority","Number","Number","223","units ","0","v1043024700","6.6.1","992368","","","","0"
"1971","Ontario","2016A000235","Total, first official language spoken","Number","Number","223","units ","0","v1043024702","7.1.1","7703106","","","","0"
"1971","Ontario","2016A000235","French","Number","Number","223","units ","0","v1043024703","7.2.1","488918","","","","0"
"1971","Ontario","2016A000235","English","Number","Number","223","units ","0","v1043024704","7.3.1","7013834","","","","0"
"1971","Ontario","2016A000235","English and french","Number","Number","223","units ","0","v1043024705","7.4.1","30261","","","","0"
"1971","Ontario","2016A000235","Neither english nor French","Number","Number","223","units ","0","v1043024706","7.5.1","170093","","","","0"
